Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7405.16047179666, 256.573879263703, 151.532555710306, 751.034253133705, 0, 
5, Eco1064, 31400, 8974.05101910828, 318.513193843494, 195.697802547771, 919.273917197452, 0, 
5, Eco1072, 24468, 9327.68170671898, 331.924666363654, 202.57156285761, 970.441515448749, 0, 
5, Eco1078, 43371, 9643.99388992645, 331.38456615992, 189.040787623066, 997.348735330059, 0, 
5, Eco1083, 29065, 9834.24407362808, 336.590382617576, 186.963736452778, 1029.54154481335, 0, 
5, Eco1090, 17774, 10200.0955328007, 351.186955212342, 197.285248115224, 1065.38764487454, 0, 
5, Eco1102, 28203, 10423.4843810942, 353.011235322302, 193.414033968018, 1113.93234762259, 0, 
5, Eco1133, 32205, 10976.7602235678, 384.239936187089, 209.893339543549, 1179.68529731408, 0, 
5, Eco1226, 23275, 13358.9694951665, 490.782211279041, 277.91888292159, 1557.78904403867, 0, 
5, Eco1441, 19294, 16160.7974499845, 589.101815182729, 338.487871877268, 2044.06675650461, 0, 
5, Eco2036, 20223, 7642.24669930277, 249.567675544013, 145.08213420363, 768.250506848638, 0, 
5, Eco2064, 44285, 9230.24256520266, 311.912005079394, 194.417342215197, 922.931398893531, 0, 
5, Eco2072, 19716, 9602.8951105701, 315.228705555724, 185.663522012579, 978.913065530534, 0, 
5, Eco2078, 29673, 9925.99117042429, 322.545278818867, 189.256226198901, 1007.62214808075, 0, 
5, Eco2083, 40707, 10226.8964060235, 321.402480512521, 185.516299407964, 1013.10079347532, 0, 
5, Eco2090, 19188, 10442.2643318741, 337.367892159561, 198.411246612466, 1078.66124661247, 0, 
5, Eco2102, 26949, 10949.4183457642, 336.228669923366, 183.760918772496, 1117.3660989276, 0, 
5, Eco2133, 29721, 11399.0297769254, 371.20305090678, 206.186467480906, 1179.97971131523, 0, 
5, Eco2226, 18597, 14050.7654460397, 496.070363095963, 292.417863096198, 1685.3062859601, 0, 
5, Eco2441, 21704, 16616.9769627718, 601.995853593583, 347.779072981939, 2130.72981938813, 0, 
5, Eco3036, 44627, 8421.25968584041, 277.380643818157, 146.055347659489, 823.99580971161, 0, 
5, Eco3064, 49056, 10160.963572244, 332.774398937674, 174.080336757991, 973.691148891063, 0, 
5, Eco3072, 78331, 10398.717697974, 342.485849165403, 182.32698420804, 1006.65227049316, 0, 
5, Eco3078, 18625, 10530.2833825503, 347.064449355252, 178.731275167785, 1016.47989261745, 0, 
5, Eco3083, 29143, 10617.1801461758, 355.236157598695, 184.415434238067, 1056.26431733178, 0, 
5, Eco3090, 21037, 10731.3290393117, 364.16961177137, 187.611066216666, 1098.98407567619, 0, 
5, Eco3102, 15890, 10749.5231592196, 364.132477444033, 186.440465701699, 1107.78168659534, 0, 
5, Eco3133, 13632, 11424.6965228873, 395.337709018885, 202.089568661972, 1170.51049002347, 0, 
5, Eco3226, 16171, 13110.8647578999, 485.126894961788, 256.212231772927, 1474.70360521922, 0, 
5, Eco3441, 19879, 15493.8157855023, 587.482106439895, 321.507470194678, 1898.32572060969, 0, 
5, Eco4036, 172, 6626.93604651163, 216.529730093571, 128.046511627907, 694.959302325581, 0, 
5, Eco4064, 5858, 8723.74155001707, 282.658988288674, 176.59491293957, 906.579037214066, 0, 
5, Eco4072, 1440, 9097.59652777778, 283.888726168936, 164.19375, 934.517361111111, 0, 
5, Eco4078, 8585, 9793.70506697729, 287.343507297276, 163.791263832266, 958.384973791497, 0, 
5, Eco4083, 5379, 10099.3680981595, 292.257656094762, 169.374604945157, 1011.66536530954, 0, 
5, Eco4090, 8814, 10423.8535284774, 294.811113390506, 163.497844338552, 1040.76911731337, 0, 
5, Eco4102, 1170, 10967.1230769231, 314.21179065491, 174.571794871795, 1113.70512820513, 0, 
5, Eco4133, 1827, 11880.8582375479, 326.790847025784, 179.511220580186, 1176.91680350301, 0, 
5, Eco4226, 1350, 13613.6259259259, 443.789484981981, 253.625185185185, 1558.98074074074, 0, 
5, Eco4441, 1535, 16618.2312703583, 563.752314240154, 343.479478827362, 2234.60195439739, 0, 
5, Eco5036, 5365, 7611.57912395154, 245.610585871392, 129.868219944082, 802.29468779124, 0, 
5, Eco5064, 17414, 9368.2599058229, 307.435041474979, 173.987481336855, 931.703284713449, 0, 
5, Eco5072, 22086, 9754.36597844789, 309.934485506048, 165.566693833197, 981.430317848411, 0, 
5, Eco5078, 5818, 9464.67961498797, 315.993544489899, 163.696803025095, 1010.95840495015, 0, 
5, Eco5083, 16741, 10014.7479839914, 326.141995112782, 175.988949286184, 982.32757899767, 0, 
5, Eco5090, 9068, 10010.2672033524, 333.032096773224, 172.273489192766, 1079.11490957212, 0, 
5, Eco5102, 6144, 10184.0821940104, 342.373622817585, 178.312662760417, 1055.51253255208, 0, 
5, Eco5133, 6362, 10840.3616787174, 373.411959557376, 199.126532536938, 1095.97233574348, 0, 
5, Eco5226, 9544, 12592.5049245599, 458.68080723413, 244.694572506287, 1450.45913663034, 0, 
5, Eco5441, 12230, 15416.5085854456, 567.424135182643, 313.258299264105, 1895.00441537204, 0, 
5, Eco6036, 1953, 7263.15104966718, 243.537056469088, 137.928827444956, 703.774705581157, 0, 
5, Eco6064, 19530, 8630.67316948285, 317.956952330659, 206.835944700461, 866.371172555043, 0, 
5, Eco6072, 3503, 9409.22380816443, 311.505299290151, 179.77162432201, 931.205252640594, 0, 
5, Eco6078, 14236, 9957.05408822703, 314.888312205239, 177.448440573195, 946.209468951953, 0, 
5, Eco6083, 15891, 10213.7418035366, 314.820555178073, 177.783776980681, 968.122773897175, 0, 
5, Eco6090, 11750, 10210.4215319149, 339.752864623334, 199.521106382979, 1036.23531914894, 0, 
5, Eco6102, 3467, 10939.5460051918, 327.531016127624, 175.848283818864, 1044.85434092876, 0, 
5, Eco6133, 3842, 11434.7954190526, 366.011970070728, 201.455491931286, 1156.0070275898, 0, 
5, Eco6226, 3656, 14583.8339715536, 505.302406988188, 301.680251641138, 1801.70240700219, 0, 
5, Eco6441, 4316, 16983.7400370714, 607.779461417974, 365.264596848934, 2260.28382761817, 0, 
5, Eco7036, 1102, 7651.58076225045, 247.784753549621, 128.437386569873, 768.102540834846, 0, 
5, Eco7064, 1986, 8460.04128902316, 301.449351061768, 171.322759315206, 874.401309164149, 0, 
5, Eco7072, 753, 9029.45551128818, 315.838716119004, 168.958831341301, 983.565737051793, 0, 
5, Eco7078, 1858, 9297.16953713671, 324.046199036517, 171.604951560818, 1043.31001076426, 0, 
5, Eco7083, 5910, 9638.44128595601, 339.543126551171, 188.507783417936, 1048.82521150592, 0, 
5, Eco7090, 3331, 9959.62864004803, 346.767719507449, 184.598018613029, 1068.50045031522, 0, 
5, Eco7102, 1901, 10002.2293529721, 355.089844984441, 189.988427143609, 1132.60021041557, 0, 
5, Eco7133, 630, 10250.3365079365, 386.077376483761, 205.419047619048, 1089.31746031746, 0, 
5, Eco7226, 2045, 12049.8542787286, 471.67054423147, 251.768215158924, 1384.82885085575, 0, 
5, Eco7441, 4476, 16936.2984807864, 630.884136104421, 366.978775692583, 2219.88672922252, 0, 
5, Eco8036, 17977, 8216.70189686822, 286.879301882958, 190.486566167881, 801.196362018134, 0, 
5, Eco8064, 10918, 10032.4718812969, 340.307354226, 221.006960981865, 993.628594980766, 0, 
5, Eco8072, 8063, 10181.1397742776, 353.327082092493, 222.254743891852, 1021.69800322461, 0, 
5, Eco8078, 13638, 10723.6630737645, 356.724705518178, 210.074057779733, 1084.62809796158, 0, 
5, Eco8083, 7632, 10811.7541928721, 364.940360278887, 210.440382599581, 1141.5820230608, 0, 
5, Eco8090, 6986, 10837.0818780418, 364.34316620268, 203.664614944174, 1166.67062696822, 0, 
5, Eco8102, 26798, 11437.4585416822, 385.464980594003, 213.675498171505, 1229.86487797597, 0, 
5, Eco8133, 23312, 12148.329658545, 423.055883946356, 237.346173644475, 1341.97580645161, 0, 
5, Eco8226, 21104, 14059.8650966641, 518.525294849552, 295.935272934041, 1623.20920204701, 0, 
5, Eco8441, 14858, 17166.8805357383, 624.989088629973, 367.025238928523, 2194.8989769821, 0, 
5, Eco9036, 1765, 8153.60623229462, 266.846630037677, 152.441359773371, 858.390368271955, 0, 
5, Eco9064, 1412, 9686.33144475921, 320.750742234294, 184.335694050991, 1051.45892351275, 0, 
5, Eco9072, 987, 10539.4731509625, 327.324561781314, 181.628166160081, 1158.98986828774, 0, 
5, Eco9078, 1527, 10410.0072036673, 342.575356591204, 194.88867059594, 1161.65684348396, 0, 
5, Eco9083, 1367, 11168.8017556693, 356.723558986452, 210.484272128749, 1287.33065106072, 0, 
5, Eco9090, 502, 10621.5139442231, 370.866295211658, 214.219123505976, 1197.72908366534, 0, 
5, Eco9102, 3213, 11591.1129785247, 371.01435059144, 212.78835978836, 1284.70432617491, 0, 
5, Eco9133, 4533, 12164.4160600044, 402.650723939372, 230.692256783587, 1349.73395102581, 0, 
5, Eco9226, 1082, 14555.7800369686, 525.028423789394, 311.729205175601, 1804.51478743068, 0, 
5, Eco9441, 1896, 17506.8992616034, 610.771540889607, 354.310654008439, 2359.29483122363, 0, 
10, Eco1036, 22976, 8584.12761142061, 245.231178059295, 162.280379526462, 703.505135793872, 0, 
10, Eco1064, 31400, 10372.3377707006, 291.531712947889, 206.942165605096, 862.088439490446, 0, 
10, Eco1072, 24468, 10775.250694785, 302.071259937033, 213.655672715383, 912.106424717999, 0, 
10, Eco1078, 43371, 11129.377510318, 307.525977963873, 200.443084088446, 934.734799750986, 0, 
10, Eco1083, 29065, 11343.7186306554, 312.46609576596, 198.413693445725, 962.302666437296, 0, 
10, Eco1090, 17774, 11786.1063913582, 324.593725824653, 208.471643974345, 995.488860132778, 0, 
10, Eco1102, 28203, 11981.8214374357, 330.411256996255, 205.812502216076, 1044.45832003688, 0, 
10, Eco1133, 32205, 12653.5954354914, 363.455838628184, 223.982580344667, 1117.87678931843, 0, 
10, Eco1226, 23275, 15298.3819119227, 468.841880547956, 298.934994629431, 1499.44098818475, 0, 
10, Eco1441, 19294, 18287.0164299782, 580.654291150687, 373.022545869182, 1967.89411215922, 0, 
10, Eco2036, 20223, 8906.15047223458, 252.146058984111, 158.758393907927, 701.253819908026, 0, 
10, Eco2064, 44285, 10725.011990516, 303.946828047093, 210.479394828949, 851.919972902789, 0, 
10, Eco2072, 19716, 11126.2832724691, 313.589082194672, 201.95501115845, 902.839013998783, 0, 
10, Eco2078, 29673, 11489.2274121255, 321.620695891704, 205.922117750143, 927.751794560712, 0, 
10, Eco2083, 40707, 11796.1029798315, 321.198946369555, 201.846242660967, 928.795022969023, 0, 
10, Eco2090, 19188, 12080.5196476965, 336.143929133145, 215.354492391078, 990.839430894309, 0, 
10, Eco2102, 26949, 12617.6669635237, 339.413251737577, 199.622694719656, 1024.64158224795, 0, 
10, Eco2133, 29721, 13181.9427004475, 374.766011615583, 224.232024494465, 1095.99535681841, 0, 
10, Eco2226, 18597, 16020.3585524547, 490.165381951773, 318.379254718503, 1597.94816368231, 0, 
10, Eco2441, 21704, 18825.7003778105, 639.907076165767, 392.41821784003, 2045.68489679322, 0, 
10, Eco3036, 44627, 9990.53859770991, 294.407037877658, 167.993748179353, 745.444775584288, 0, 
10, Eco3064, 49056, 12018.7674494455, 352.363144773629, 200.226965101109, 885.66648320287, 0, 
10, Eco3072, 78331, 12273.5669785909, 361.990022807695, 209.409901571536, 919.733285672339, 0, 
10, Eco3078, 18625, 12434.578738255, 367.83409906945, 205.211973154362, 926.747275167785, 0, 
10, Eco3083, 29143, 12564.2807535257, 376.968304541102, 211.884054489929, 966.314277871187, 0, 
10, Eco3090, 21037, 12688.9838379997, 385.901679054937, 214.957503446309, 1010.04782050673, 0, 
10, Eco3102, 15890, 12730.4297671492, 387.111158127989, 213.245248584015, 1024.28596601636, 0, 
10, Eco3133, 13632, 13481.5395393192, 419.190324359174, 230.220070422535, 1084.77420774648, 0, 
10, Eco3226, 16171, 15451.2081503927, 516.815975562261, 288.032465524705, 1409.76804155587, 0, 
10, Eco3441, 19879, 18021.4054529906, 633.151587735649, 362.148246893707, 1834.67151265154, 0, 
10, Eco4036, 172, 7788.37209302326, 223.680973592609, 140.738372093023, 640.651162790698, 0, 
10, Eco4064, 5858, 10061.9808808467, 282.486223787233, 192.753670194606, 841.557698873336, 0, 
10, Eco4072, 1440, 10479.4756944444, 285.171826774449, 178.297916666667, 868.608333333333, 0, 
10, Eco4078, 8585, 11218.3673849738, 287.252464631452, 176.656843331392, 878.096214327315, 0, 
10, Eco4083, 5379, 11550.0388548057, 293.369689560439, 183.314556609035, 926.700316043874, 0, 
10, Eco4090, 8814, 11869.2490356251, 295.116155413279, 175.85908781484, 950.630020422056, 0, 
10, Eco4102, 1170, 12530.5658119658, 310.703792842941, 184.907692307692, 1026.6452991453, 0, 
10, Eco4133, 1827, 13496.610290093, 326.758334624356, 191.128626163109, 1076.16912972085, 0, 
10, Eco4226, 1350, 15510.7414814815, 446.583333470412, 275.068148148148, 1466.28222222222, 0, 
10, Eco4441, 1535, 18637.2755700326, 587.673751911599, 376.481433224756, 2125.81172638436, 0, 
10, Eco5036, 5365, 9008.43317800559, 264.954743654535, 151.104380242311, 722.65852749301, 0, 
10, Eco5064, 17414, 10997.0694268979, 321.159917209437, 199.885551854829, 847.529861031354, 0, 
10, Eco5072, 22086, 11400.1274563072, 322.317156221174, 189.291270488092, 892.719777234447, 0, 
10, Eco5078, 5818, 11116.0319697491, 331.075350854538, 188.015125472671, 925.114128566518, 0, 
10, Eco5083, 16741, 11715.1997491189, 339.677242716121, 201.709157159071, 901.34579774207, 0, 
10, Eco5090, 9068, 11734.4616232907, 346.96138263198, 197.360939567711, 989.451146890163, 0, 
