Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
1, Eco1036, 22976, 6247.71661733983, 16.4785252313567, 115.485506615599, 809.53333913649, 0, 
1, Eco1064, 31400, 7567.87805732484, 14.8677582093994, 149.544140127389, 989.036910828025, 0, 
1, Eco1072, 24468, 7870.05513323525, 19.6083626402513, 155.350948177211, 1040.75813307177, 0, 
1, Eco1078, 43371, 8147.45359802633, 11.5241832503309, 143.029466694335, 1071.29072421664, 0, 
1, Eco1083, 29065, 8324.22287975228, 17.4862732206059, 140.941854464132, 1105.35785308791, 0, 
1, Eco1090, 17774, 8619.40435467537, 28.3238728149083, 148.577810284685, 1139.44497580736, 0, 
1, Eco1102, 28203, 8852.61645924192, 19.2885675876296, 145.516540793533, 1198.66109988299, 0, 
1, Eco1133, 32205, 9301.80149045179, 18.696293515631, 157.051203229312, 1262.69886663562, 0, 
1, Eco1226, 23275, 11436.3748657358, 30.3811710474223, 213.144189044039, 1666.665349087, 0, 
1, Eco1441, 19294, 14145.7334404478, 34.2931798787381, 270.219083652949, 2211.47755778999, 0, 
1, Eco2036, 20223, 6489.34787123572, 19.0149427640073, 110.32828957128, 824.02472432379, 0, 
1, Eco2064, 44285, 7822.24658462233, 10.7844268941143, 148.259026758496, 990.832832787626, 0, 
1, Eco2072, 19716, 8175.7738385068, 24.822724849058, 141.230929194563, 1050.3900892676, 0, 
1, Eco2078, 29673, 8465.28790482931, 17.1928859961438, 143.809018299464, 1080.72476662286, 0, 
1, Eco2083, 40707, 8737.98366374334, 12.7373588622769, 140.05971945857, 1097.61719114649, 0, 
1, Eco2090, 19188, 8909.48905565979, 27.0431558597103, 150.978319783198, 1154.74916614551, 0, 
1, Eco2102, 26949, 9368.98523136295, 20.0005009536041, 137.864262124754, 1209.01755167168, 0, 
1, Eco2133, 29721, 9727.51034621984, 20.4230381842658, 154.661586083914, 1264.7498065341, 0, 
1, Eco2226, 18597, 12182.1869656396, 35.5654769138266, 228.362961768027, 1802.55750927569, 0, 
1, Eco2441, 21704, 14574.8142738666, 32.5314639276227, 278.699594544784, 2295.16969222263, 0, 
