Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_carycord,AboveGroundBiomass_caryovat,AboveGroundBiomass_castdent,AboveGroundBiomass_fagugran,AboveGroundBiomass_fraxamer,AboveGroundBiomass_fraxnigr,AboveGroundBiomass_fraxpenn,AboveGroundBiomass_piceglau,AboveGroundBiomass_picemari,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_pinusylv,AboveGroundBiomass_popubals,AboveGroundBiomass_popugran,AboveGroundBiomass_poputrem,AboveGroundBiomass_prunsero,AboveGroundBiomass_queralba,AboveGroundBiomass_quercocc,AboveGroundBiomass_querelli,AboveGroundBiomass_querfalc,AboveGroundBiomass_quermacr,AboveGroundBiomass_querrubr,AboveGroundBiomass_quervelu,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,AboveGroundBiomass_ulmuamer,
0, Eco3090, 21037, 198.187859485668, 914.631601464087, 814.796691543471, 51.7237248657128, 197.765080572325, 0, 0, 0, 237.694823406379, 68.3854161715073, 48.7833341255882, 73.1659932499881, 154.093264248705, 107.237866615962, 163.523648809241, 436.713029424348, 617.499310738223, 9.21980320387888, 79.0735371012977, 707.844559585492, 664.670200123592, 253.543851309597, 663.067642724723, 0, 324.058325806912, 0, 0, 1500.13823263773, 348.315301611447, 241.774920378381, 112.985596805628, 82.6925417122213, 52.4008176070733, 
0, Eco3102, 15890, 248.822466960352, 1040.97262429201, 776.739521711768, 112.524669603524, 254.899937067338, 0, 0, 0, 217.87608558842, 68.8186910006293, 107.388923851479, 143.515921963499, 203.096349905601, 203.901321585903, 116.733039647577, 327.6122718691, 538.490560100692, 4.28281938325991, 97.140213971051, 526.840213971051, 678.200881057269, 265.011327879169, 534.410509754563, 0, 298.286217747011, 0, 0, 1271.14606670862, 287.808999370673, 464.24203901825, 143.412523599748, 98.7617998741347, 75.6798615481435, 
0, Eco3133, 13632, 236.382629107981, 911.774207746479, 1268.09793133803, 91.2613703051643, 250.550982981221, 0, 0, 0, 418.610768779343, 87.356073943662, 80.1020393192488, 94.4339055164319, 176.550249413146, 146.961194248826, 122.231220657277, 316.773180751174, 528.20165786385, 4.70393192488263, 88.3787411971831, 638.961927816901, 695.32841842723, 348.687353286385, 538.948723591549, 0, 328.244571596244, 0, 0, 1372.05780516432, 294.952684859155, 327.051643192488, 167.155736502347, 118.906910211268, 72.5104900234742, 
0, Eco3226, 16171, 418.55203759817, 1089.03456805392, 540.958382289283, 185.057572197143, 445.012986209882, 0, 0, 0, 206.211551542885, 94.7671139694515, 160.99802114897, 225.546595757838, 484.218972234247, 623.924247109022, 90.7827592604044, 292.855605713932, 589.169562797601, 3.17723084534042, 132.700513264486, 579.877373075258, 1323.95294044895, 416.161832910766, 387.069630820605, 0, 272.815410302393, 0, 0, 979.161338198009, 236.353719621545, 999.666563601509, 129.13635520376, 109.024921155154, 115.386556180818, 
0, Eco3441, 19879, 615.856481714372, 958.980582524272, 253.092409074903, 204.487901805926, 580.653352784345, 0, 0, 0, 98.5389104079682, 85.3325116957594, 239.252527793149, 276.856632627396, 960.438301725439, 1373.19080436642, 72.2904572664621, 291.480859198149, 622.316665828261, 2.97243322098697, 263.941999094522, 454.496101413552, 1548.79661954827, 515.147089893858, 309.268222747623, 0, 200.404799034157, 0, 0, 751.384777906333, 186.784244680316, 2025.4917752402, 124.327883696363, 102.22234518839, 126.223804014286, 
0, Eco4036, 172, 179.255813953488, 594.941860465116, 404.529069767442, 3.91860465116279, 113.133720930233, 0, 0, 0, 35.7151162790698, 40.1511627906977, 23.0232558139535, 37.5116279069767, 97.0232558139535, 6.11046511627907, 189.087209302326, 410.523255813953, 384.43023255814, 3.56395348837209, 45.156976744186, 610.691860465116, 583.796511627907, 80.4127906976744, 371, 0, 444.837209302326, 0, 0, 635.017441860465, 173.941860465116, 68.7383720930233, 41.7558139534884, 29.5406976744186, 17.5, 
0, Eco4064, 5858, 204.18897234551, 693.628030044384, 392.710822806419, 16.1104472516217, 156.309832707409, 0, 0, 0, 98.0471150563332, 38.5944008193923, 22.897575964493, 28.8183680437009, 180.23830658928, 47.1794127688631, 285.66063502902, 727.881358825538, 855.54148173438, 15.9547627176511, 63.5838170023899, 599.968419255719, 578.137760327757, 162.131956299078, 389.990440423353, 0, 456.869067941277, 0, 0, 911.785592352339, 265.877773984295, 187.470638443155, 60.2405257767156, 60.0452372823489, 15.5747695459201, 
0, Eco4072, 1440, 306.6875, 675.599305555556, 1393.32708333333, 53.3888888888889, 187.113194444444, 0, 0, 0, 342.784722222222, 87.0145833333333, 23.9541666666667, 29.2520833333333, 137.747222222222, 37.9034722222222, 160.005555555556, 349.786111111111, 484.402777777778, 4.94027777777778, 87.7694444444444, 696.102777777778, 634.638194444444, 252.575, 257.000694444444, 0, 240.163888888889, 0, 0, 782.338888888889, 130.419444444444, 149.969444444444, 168.111111111111, 112.684027777778, 24.9784722222222, 
0, Eco4078, 8585, 230.953989516599, 745.099126383227, 1723.44076878276, 59.2116482236459, 191.034362259755, 0, 0, 0, 412.217239370996, 76.0814210832848, 21.7237041351194, 27.8177052999418, 116.885497961561, 25.5557367501456, 127.083983692487, 321.804542807222, 530.061036691905, 9.02597553873034, 68.6563774024461, 590.526266744321, 476.810599883518, 221.955037856727, 387.803727431567, 0, 283.295282469423, 0, 0, 1077.80629004077, 197.215259172976, 137.333372160745, 251.652533488643, 112.011764705882, 25.6745486313337, 
0, Eco4083, 5379, 200.056144264733, 818.832124930284, 1382.2574828035, 69.6947387990333, 184.579661647146, 0, 0, 0, 306.425357873211, 78.5952779327013, 28.3816694552891, 27.4999070459193, 145.083658672616, 88.1855363450455, 143.474437627812, 400.803495073434, 622.926008551775, 7.66127532998699, 60.7687302472579, 585.284811303216, 494.7309908905, 239.17252277375, 491.343930098531, 0, 421.579289830824, 0, 0, 1167.30377393568, 234.813534114148, 221.491727086819, 177.593047034765, 126.685257482803, 26.0713887339654, 
