Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_carycord,CohortsHarvested_caryovat,CohortsHarvested_castdent,CohortsHarvested_fagugran,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_pinusylv,CohortsHarvested_popubals,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunsero,CohortsHarvested_queralba,CohortsHarvested_quercocc,CohortsHarvested_querelli,CohortsHarvested_querfalc,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_quervelu,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_tsugcana,CohortsHarvested_ulmuamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_carycord,BiomassHarvestedMg_caryovat,BiomassHarvestedMg_castdent,BiomassHarvestedMg_fagugran,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_pinusylv,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_queralba,BiomassHarvestedMg_quercocc,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querfalc,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_quervelu,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_tsugcana,BiomassHarvestedMg_ulmuamer,
5, 1, MM5-1_DO1, 63, 950, 549, 19804.2147183776, 16, 161, 0, 0, 549, 0, 0, 0, 0, 0, 221, 19, 2, 9, 0, 19, 15, 0, 1, 76, 20, 0, 0, 0, 0, 0, 0, 19, 0, 372, 0, 0, 0, 144.152443063259, 644.199503564834, 0, 0, 7894.95245484113, 0, 0, 0, 0, 0, 402.170999705792, 42.2032540678978, 92.1091565132141, 179.479772794247, 0, 1188.08310221434, 110.579381418228, 0, 13.5502086639404, 477.100427377224, 112.978897535801, 0, 0, 0, 0, 0, 0, 171.192368388176, 0, 2376.83161646128, 0, 0, 0, 
5, 1, MM28-1_DO1, 1002, 0, 5833, 24139.0514867783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 613, 4029, 1184, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1467.47549990416, 14967.5161293864, 7694.90540103913, 9.15445644855499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, MM25-1_DO1, 125, 1328, 916, 59776.1002729415, 7, 588, 30, 0, 92, 0, 0, 0, 70, 0, 0, 0, 3, 0, 5, 911, 201, 0, 0, 65, 3, 0, 50, 0, 6, 0, 0, 135, 8, 70, 0, 0, 0, 45.3085102200508, 1571.88469702005, 400.436895620823, 0, 462.884806680679, 0, 0, 0, 382.127982723713, 0, 0, 0, 24.3782771945, 0, 24.0153251767159, 11024.7280321956, 17946.5053073525, 0, 0, 55.4510027170181, 10.9490525364876, 0, 1758.64367417097, 0, 151.592959427834, 0, 0, 1061.19104399681, 140.059150862694, 352.265097260475, 0, 0, 0, 
5, 1, MM26-1_DO1, 250, 1904, 1928, 67411.0580990434, 7, 888, 42, 0, 110, 0, 0, 0, 77, 2, 0, 0, 34, 0, 24, 1674, 189, 5, 0, 98, 39, 0, 203, 0, 64, 0, 0, 200, 7, 169, 0, 0, 0, 28.4715693950653, 2676.46867114305, 611.57414996624, 0, 569.49187990427, 0, 0, 0, 463.207430696487, 6.85576033592224, 0, 0, 198.917869746685, 0, 114.249229598045, 15925.8304403424, 16820.6684761882, 26.1123812794685, 0, 280.662729752064, 201.539189875126, 0, 7559.92757842541, 0, 1835.00474591255, 0, 0, 1966.53452435732, 114.087917590141, 849.99329764843, 0, 0, 0, 
5, 1, MM27-1_DO1, 3249, 0, 24309, 171869.354557347, 6, 236, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 121, 0, 5, 20726, 3038, 0, 0, 3, 17, 0, 0, 0, 46, 0, 0, 0, 48, 0, 60, 0, 0, 8.61002842187881, 25.3663132429123, 0.181476008892059, 0, 1.55262807607651, 0, 0, 0, 0, 0, 0, 0, 816.218595993519, 0, 8.36806041002274, 120776.175569856, 49716.6834600449, 0, 0, 4.98050824403763, 32.8471576094627, 0, 0, 0, 229.123543226719, 0, 0, 0, 55.5921507239342, 0, 193.655065488815, 0, 0, 
5, 1, MM12-1_DO1, 626, 9296, 4840, 244989.184124112, 3599, 797, 2, 4, 657, 0, 0, 0, 83, 77, 520, 112, 1241, 409, 0, 3, 161, 0, 260, 335, 1158, 179, 6, 0, 0, 0, 0, 168, 50, 4213, 100, 0, 2, 30524.768795669, 3244.71038298607, 9.92068848609924, 26.8584493160248, 6295.82619248629, 0, 0, 0, 447.560165929794, 264.168576943874, 1481.10636457205, 210.774302327633, 46511.6759950042, 15764.3571204305, 0, 206.721338129044, 1338.04277756214, 0, 2405.02088984251, 2646.10168565512, 10176.2067066193, 3651.3577909112, 28.3102573871613, 0, 0, 0, 0, 5098.26600980759, 430.723225104809, 29442.4862066388, 798.333127117157, 0, 9.51740846633911, 
5, 1, MM10-1_DO1, 625, 0, 5318, 9638.1303402543, 0, 2688, 0, 348, 429, 0, 0, 0, 0, 0, 1415, 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 3732.0541228652, 0, 1939.21230301857, 2727.54408564567, 0, 0, 0, 0, 0, 354.906581389904, 90.1532484173775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 758.690701174736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.5692977428436, 
5, 1, MM7-1_DO1, 125, 1182, 1765, 23897.5674109459, 0, 1108, 32, 32, 2, 0, 0, 0, 24, 48, 540, 30, 0, 0, 0, 0, 228, 0, 0, 64, 125, 24, 0, 0, 0, 0, 0, 76, 0, 556, 29, 0, 29, 0, 2957.71615692377, 187.404225182533, 1259.88710973263, 45.4294942259788, 0, 0, 0, 162.763815975189, 18.7726849198341, 748.770012688637, 18.9138329267502, 0, 0, 0, 0, 2942.89561619759, 0, 0, 18.9541609287262, 581.711264503002, 1122.10649098158, 0, 0, 0, 0, 0, 1058.3479198575, 0, 3685.313968575, 202.829685938358, 0, 26.7576293110847, 
5, 1, MM8-1_DO1, 313, 2887, 1589, 55460.3789774775, 0, 1376, 28, 28, 29, 0, 0, 0, 33, 66, 104, 0, 0, 0, 0, 0, 1026, 0, 0, 233, 184, 0, 0, 0, 0, 0, 0, 342, 0, 923, 52, 0, 52, 0, 766.715973567962, 159.477083814144, 738.688012194634, 855.256101906299, 0, 0, 0, 210.673482322693, 25.5074612498283, 5.24264025688171, 0, 0, 0, 0, 0, 13605.2362226367, 0, 0, 359.221677601339, 703.723634481429, 0, 0, 0, 0, 0, 0, 4982.62546414138, 0, 6110.05525138378, 372.328278243542, 0, 36.779137802124, 
5, 1, MM9-1_DO1, 125, 0, 456, 84.1645401239395, 0, 284, 0, 0, 1, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 42.5258780837059, 0, 0, 4.49657222032547, 0, 0, 0, 0, 0.564592027664185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.1697816252708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40771616697311, 
5, 1, MM35-1_DO1, 1875, 0, 8276, 58150.2163812756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 729, 2328, 5169, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2675.3798150897, 11154.4632145524, 44238.0034075975, 82.3699440360069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, MM32-1_DO1, 438, 5523, 2538, 147550.31919775, 216, 1183, 33, 267, 54, 0, 0, 0, 4, 44, 234, 159, 101, 127, 85, 608, 2538, 122, 2, 141, 112, 130, 374, 0, 61, 0, 0, 367, 221, 710, 62, 0, 106, 1401.23675665855, 4762.93867337704, 286.611110043526, 1544.2398516655, 499.502632474899, 0, 0, 0, 50.4503304719925, 228.821083211899, 684.587997543812, 438.970301508903, 2123.97504407167, 1229.05635222197, 1363.89302682877, 8574.39863213301, 64649.376359725, 756.613809072971, 10.7877405285835, 906.63397642374, 769.801065719128, 1271.76370631456, 2517.91913137436, 0, 1985.02491326332, 0, 0, 4147.57369122505, 1547.60723983049, 3544.7708816886, 395.940323400497, 0, 407.353147959709, 
5, 1, MM33-1_DO1, 750, 8887, 4752, 207321.680930459, 541, 1985, 45, 413, 145, 0, 0, 0, 12, 57, 427, 246, 222, 250, 114, 783, 3969, 150, 22, 342, 454, 256, 652, 0, 177, 0, 0, 514, 480, 1146, 77, 0, 160, 3251.40483131409, 8211.56759835481, 424.694188809395, 2439.36018352508, 1688.37213072777, 0, 0, 0, 87.0681562662125, 286.389306032658, 1210.98940733671, 685.576033592224, 6826.26040247679, 2519.41126744747, 1268.90041817427, 7670.10367982388, 66252.5959142806, 937.525225937367, 137.861274755001, 1800.06053220034, 3419.27013953924, 3174.15654352903, 5548.56847987175, 0, 5712.46147990227, 0, 0, 6301.23014475107, 3858.22027704716, 5802.29210430383, 488.654399943352, 0, 619.196142339707, 
5, 1, MM34-1_DO1, 1937, 0, 14597, 130960.951976895, 729, 316, 33, 0, 139, 0, 0, 0, 0, 0, 0, 0, 173, 0, 6, 2088, 10313, 0, 101, 110, 391, 0, 0, 0, 86, 0, 0, 73, 39, 0, 0, 0, 0, 202.144109904766, 30.34682148695, 6.08952829837799, 0, 134.675362598896, 0, 0, 0, 0, 0, 0, 0, 411.58758816719, 0, 6.4121523141861, 11346.7067999721, 118261.381858635, 0, 16.1110367894173, 28.8546854138374, 61.1170869946479, 0, 0, 0, 432.921101212502, 0, 0, 6.15002030134202, 16.4538248062134, 0, 0, 0, 0, 
10, 1, MM2-1_DO1, 125, 3357, 0, 53420.5684735298, 32, 149, 4, 55, 13, 0, 0, 0, 121, 21, 558, 74, 4, 0, 25, 281, 18, 0, 384, 587, 683, 10, 18, 0, 10, 0, 0, 13, 12, 270, 13, 0, 2, 251.384600317478, 513.899729180336, 23.1482731342316, 819.182704138756, 182.524536943436, 0, 0, 0, 836.180956971645, 159.759379827976, 1092.94934555292, 376.260258436203, 66.5210392594337, 0, 156.371827661991, 1876.19979993105, 199.885741794109, 0, 3235.31395852566, 7240.61045877934, 7411.33905514479, 101.344268965721, 144.011295056343, 0, 82.551420044899, 0, 0, 112.474797511101, 109.9542973876, 1608.48235881328, 97.5131087779999, 0, 12.4210246086121, 
10, 1, MM14-1_DO1, 750, 13153, 0, 362085.207709646, 430, 438, 49, 11, 61, 0, 0, 0, 63, 110, 57, 47, 170, 257, 5233, 648, 1400, 2, 2, 73, 672, 273, 646, 0, 1610, 0, 0, 62, 764, 31, 35, 4, 5, 5772.65102285146, 2720.93029332161, 620.405982398987, 54.8460826873779, 421.931720674038, 0, 0, 0, 587.0950527668, 803.757243382931, 351.055257201195, 323.228935837746, 8500.01363248825, 3183.2908359766, 60287.6004860044, 6323.99530186653, 14264.5183989406, 55.02755869627, 23.6523731589317, 844.004589354992, 5196.02108659744, 4555.24946320057, 8048.52148636579, 0, 40023.989333117, 0, 0, 990.556548535824, 16634.393435061, 170.34548034668, 230.131743276119, 35.0248697161675, 20.3656409978867, 
