ecoregion,days,years,scenario
eco1,1095,3,gfdl
eco2,1095,3,gfdl
eco3,1095,3,gfdl
eco4,1095,3,gfdl
eco5,1095,3,gfdl
eco6,1095,3,gfdl
eco7,1095,3,gfdl
eco8,1095,3,gfdl
eco9,1095,3,gfdl
