ecoregion,days,years,scenario
eco1,1417,3.9,pcm
eco2,1461,4,pcm
eco3,1278,3.5,pcm
eco4,1461,4,pcm
eco5,1337,3.7,pcm
eco6,1461,4,pcm
eco7,1460,4,pcm
eco8,1461,4,pcm
eco9,1461,4,pcm
